Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2021-129;19.11.2021;Pysäköinnin kieltäminen Väinämöisenkatu 23 vastapäätä;HEL 2021-011868;7221;https://paatokset.hel.fi/fi/asia/hel-2021-011868
2021-128;19.11.2021;Pysäköintikiellon voimassaoloajan pidentäminen Lapuankatu 1 edustalla;HEL 2021-012542;7227;https://paatokset.hel.fi/fi/asia/hel-2021-012542
2021-130;19.11.2021;Kaivonkatsojanpuiston sulkulaite;HEL 2021-012622;Kaivonkatsojanpuisto;https://paatokset.hel.fi/fi/asia/hel-2021-012622
2021-131;3.12.2021;Jätkäsaarenlaiturin ja Tyynenmerenkadun liikenteen ohjaussuunnitelma;HEL 2019-002142;7200;https://paatokset.hel.fi/fi/asia/hel-2019-002142
2021-133;3.12.2021;Välimerenkadun, Messipojankujan, Länsisatamankadun ja Jätkäsaarenkallion liikenteen ohjaussuunnitelma;HEL 2021-009232;7199;https://paatokset.hel.fi/fi/asia/hel-2021-009232
2021-134;3.12.2021;Reginankujan eteläosan liikenteen ohjaussuunnitelma;HEL 2021-011584;7217;https://paatokset.hel.fi/fi/asia/hel-2021-011584
2021-132;3.12.2021;Atlantinkadun ja Tyynenmerenkadun risteyksen ajoesteet;HEL 2021-013559;7219;https://paatokset.hel.fi/fi/asia/hel-2021-013559
2021-138;17.12.2021;Länsisatamankadun, Hyväntoivonkadun ja Bunkkerinkujan liikenteen ohjaussuunnitelma;HEL 2021-009229;7198;https://paatokset.hel.fi/fi/asia/hel-2021-009229
2021-139;17.12.2021;Pyöräliikenteen opastusjärjestelyt Lauttasaaressa;HEL 2021-010326;7210;https://paatokset.hel.fi/fi/asia/hel-2021-010326
2021-136;17.12.2021;Linja-auton pysäkkijärjestelyt ja sähköbussien latausaseman rakentaminen Mellunmäen linja-autoterminaaliin;HEL 2021-011268;7234;https://paatokset.hel.fi/fi/asia/hel-2021-011268
2021-137;17.12.2021;Pysäköintijärjestelyt Fabianinkatu 19 edustalla;HEL 2021-014056;Fabianinkatu 19;https://paatokset.hel.fi/fi/asia/hel-2021-014056
2022-2;14.1.2022;Palokuntavalojen lisääminen Kullervonkadulle;HEL 2022-000190;7235;https://paatokset.hel.fi/fi/asia/hel-2022-000190
2022-3;21.1.2022;Liikennejärjestelyt Töölöntullinkadulla;HEL 2021-011252;7215;https://paatokset.hel.fi/fi/asia/hel-2021-011252
2022-4;27.1.2022;Yhteiskäyttöautoyritysten pysäköintitunnuksen käyttöoikeuden myöntäminen Electric Beast Global OÜ:n Suomen sivuliikkeelle;HEL 2022-000662;;https://paatokset.hel.fi/fi/asia/hel-2022-000662
2022-5;28.1.2022;Pysäköintijärjestelyt Lokkisaarentie 1,3,5 ja 9-13 sekä Haapasaarentie 2a-2d ja 4-10 yksityisillä pysäköintialueilla;HEL 2022-000629;Haapasaarentie 2a ja 2b,Haapasaarentie 2c ja 2d, Haapasaarentie 4, Haapasaarentie 6-10, Lokkisaarentie 1 ja 3, Lokkisaarentie 5, Lokkisaarentie 9-13;https://paatokset.hel.fi/fi/asia/hel-2022-000629
2022-6;4.2.2022;Radiokadun liikenteen ohjaussuunnitelma;HEL 2021-013301;7220;https://paatokset.hel.fi/fi/asia/hel-2021-013301
2022-7;11.2.2022;Asemapäällikönkadun, Ratapihantien, Pasilansillan ja Esterinportin liikennejärjestelyt;HEL 2022-001361;7246;https://paatokset.hel.fi/fi/asia/hel-2022-001361
2022-8;18.2.2022;Pysäköintijärjestelyt Punakiventie 1 – 11 yksityisellä pysäköintialueella;HEL 2022-002145;Punakiventie 1, Punakiventie 11, Punakiventie 1-11, Punakiventie 3, Punakiventie 5, Punakiventie 7, Punakiventie 9;https://paatokset.hel.fi/fi/asia/hel-2022-002145
2022-10;4.3.2022;Nopeusrajoituksen tehostaminen nopeusrajoitusta osoittavin tiemerkinnöin Itäkadulla;HEL 2022-002877;7252;https://paatokset.hel.fi/fi/asia/hel-2022-002877
2022-9;4.3.2022;Asukaspysäköintipaikkojen lisääminen Lönnrotinkatu 25 edustalle;HEL 2022-003072;Lönnrotinkatu 25;https://paatokset.hel.fi/fi/asia/hel-2022-003072
2022-13;11.3.2022;Atlantinkadun liikenteenohjaussuunnitelma;HEL 2022-003418;6924;https://paatokset.hel.fi/fi/asia/hel-2022-003418
2022-12;11.3.2022;Länsisatamankadun, Hyväntoivonkadun ja Bunkkerinkujan liikenteenohjaussuunnitelma;HEL 2022-003423;7198;https://paatokset.hel.fi/fi/asia/hel-2022-003423
2022-11;11.3.2022;Välimerenkadun, Messipojankujan, Länsisatamankadun ja Jätkäsaarenkallion liikenteenohjaussuunnitelma;HEL 2022-003427;7199;https://paatokset.hel.fi/fi/asia/hel-2022-003427
2022-15;18.3.2022;Pysäköintijärjestelyt Topeliuksenkatu 5 kohdalla;HEL 2022-003078;7253;https://paatokset.hel.fi/fi/asia/hel-2022-003078
2022-14;18.3.2022;Raitioteiden ylityspaikkojen pilotointi Ruoholahdessa ja Länsisatamassa;HEL 2022-003369;7259;https://paatokset.hel.fi/fi/asia/hel-2022-003369
2022-18;25.3.2022;Mustikkamaan pysäköintialueen aikarajoituksen merkitseminen;HEL 2021-006460;7172;https://paatokset.hel.fi/fi/asia/hel-2021-006460
2022-16;25.3.2022;Liikennejärjestelyt Eino Leinon kadulla ja Töölönkadulla;HEL 2021-012865;7230;https://paatokset.hel.fi/fi/asia/hel-2021-012865
2022-17;25.3.2022;Töölöntorin ympäristön liikenteen ohjaussuunnitelma;HEL 2022-004289;7268;https://paatokset.hel.fi/fi/asia/hel-2022-004289
2022-21;1.4.2022;Kuormauspaikkojen merkitseminen kantakaupungissa;HEL 2022-004061;7265;https://paatokset.hel.fi/fi/asia/hel-2022-004061
2022-22;1.4.2022;Yhteiskäyttöisten sähköpotkulautojen pysäköintipaikkojen merkitsemiskokeilu Helsingin keskustassa;HEL 2022-004102;Yhteiskäyttöisten sähköpotkulautojen pysäköintipaikkojen merkitsemiskokeilu;https://paatokset.hel.fi/fi/asia/hel-2022-004102
2022-19;1.4.2022;Jalkakäytävän merkitseminen Hattelmalantielle;HEL 2022-004366;Hattelmalantie;https://paatokset.hel.fi/fi/asia/hel-2022-004366
2022-20;1.4.2022;Johtokivenpolun merkitseminen rinnakkaiseksi pyörätieksi ja jalkakäytäväksi;HEL 2022-004367;Johtokivenpolku;https://paatokset.hel.fi/fi/asia/hel-2022-004367
2022-24;8.4.2022;Pyöräliikenteen opastusjärjestelyt Vuosaaressa;HEL 2022-000868;7244;https://paatokset.hel.fi/fi/asia/hel-2022-000868
2022-23;8.4.2022;Pyöräliikenteen opastusjärjestelyt Kulosaaressa, Herttoniemessä ja Tammisalossa;HEL 2022-003137;7256;https://paatokset.hel.fi/fi/asia/hel-2022-003137
2022-25;8.4.2022;Pyöräliikenteen opastusjärjestelyt EuroVelo10-reitillä kantakaupungissa;HEL 2022-003139;7258;https://paatokset.hel.fi/fi/asia/hel-2022-003139
2022-27;14.4.2022;Pysäköinnin kieltäminen Kukkaniityntie 19 kohdalla;HEL 2022-004149;Kukkaniityntie 19;https://paatokset.hel.fi/fi/asia/hel-2022-004149
2022-28;14.4.2022;Pysäköinnin kieltäminen Jäkärlänkujalla;HEL 2022-004164;Jäkärlänkuja;https://paatokset.hel.fi/fi/asia/hel-2022-004164
2022-26;14.4.2022;Ernst Lindelöfin kadun liikennejärjestelyt;HEL 2022-004814;;https://paatokset.hel.fi/fi/asia/hel-2022-004814
2022-29;29.4.2022;Pysäköintikieltoalueen laajentaminen Heinäsarantiellä;HEL 2022-005428;Heinäsarantie;https://paatokset.hel.fi/fi/asia/hel-2022-005428
2022-30;29.4.2022;Yhdyskunnantien päätepysäkkijärjestelyt;HEL 2022-005486;7277;https://paatokset.hel.fi/fi/asia/hel-2022-005486
2022-31;6.5.2022;Vaasankatu 8 ja 10 edustan pysäköintijärjestelyt;HEL 2022-006084;7281;https://paatokset.hel.fi/fi/asia/hel-2022-006084
2022-33;27.5.2022;Automaattisten kameravalvontapisteiden toteuttaminen Helsinkiin 2022;HEL 2022-002261;7260;https://paatokset.hel.fi/fi/asia/hel-2022-002261
2022-36;27.5.2022;Lauttasaaren sillan ympäristön liikenteen ohjaussuunnitelma;HEL 2022-004867;7275;https://paatokset.hel.fi/fi/asia/hel-2022-004867
2022-34;27.5.2022;Pallomäentien, Pallomäenkujan ja Pallomäenrinteen liikenteen ohjaussuunnitelma;HEL 2022-005004;7273;https://paatokset.hel.fi/fi/asia/hel-2022-005004
2022-35;27.5.2022;Vallesmannintie 36 kohdalla olevan hidastetöyssyn poisto;HEL 2022-005044;Vallesmannintien_hidastetöyssyn_poisto;https://paatokset.hel.fi/fi/asia/hel-2022-005044
2022-37;27.5.2022;Pysäköintijärjestelyt Satamasaarentie 2 – 10 ja Koukkusaarentie 1 – 7 yksityisellä pysäköintialueella;HEL 2022-007005;Satamasaarentie 2-10 ja Koukkusaarentie 1-7;https://paatokset.hel.fi/fi/asia/hel-2022-007005
2022-39;3.6.2022;Pysäköintijärjestelyt Tankomäenkadulla;HEL 2022-004587;7271;https://paatokset.hel.fi/fi/asia/hel-2022-004587
2022-38;3.6.2022;Pasilanraition liikennejärjestelyt Maistraatintorin kohdalla;HEL 2022-005970;7280;https://paatokset.hel.fi/fi/asia/hel-2022-005970
2022-40;3.6.2022;Yhteiskäyttöisten sähköpotkulautojen pysäköintipaikkojen merkitsemiskokeilu Helsingin keskustassa: Kaivokadun pysäköintipaikkojen siirtäminen;HEL 2022-007155;7288;https://paatokset.hel.fi/fi/asia/hel-2022-007155
2022-42;20.6.2022;CD-paikkojen merkitseminen Tehtaankatu 34 A edustalle ja asukaspysäköintipaikkojen lisääminen Puistokatu 5 edustalle;HEL 2022-007576;Puistokatu 5, Tehtaankatu 34;https://paatokset.hel.fi/fi/asia/hel-2022-007576
2022-46;23.6.2022;Kantelettarentien pohjoisosan liikennejärjestelyt;HEL 2022-006291;7282;https://paatokset.hel.fi/fi/asia/hel-2022-006291
2022-45;23.6.2022;Jalkakäytävän rakentaminen välillä Kannelmäen asema - Kaustisentie;HEL 2022-007403;7291;https://paatokset.hel.fi/fi/asia/hel-2022-007403
2022-47;23.6.2022;Nastarengaskiellon kokeilu Lönnrotinkadulla;HEL 2022-007736;7290;https://paatokset.hel.fi/fi/asia/hel-2022-007736
2022-44;23.6.2022;Pysäköintijärjestelyt Kesäkatu 8 vastapäätä;HEL 2022-008043;7292;https://paatokset.hel.fi/fi/asia/hel-2022-008043
2022-54;1.7.2022;Pasilankadun ja Ratapihakortteleiden liikenteen ohjaussuunnitelma;HEL 2022-003866;7264;https://paatokset.hel.fi/fi/asia/hel-2022-003866
2022-53;1.7.2022;Töyrynummentien liikenteen ohjaussuunnitelma;HEL 2022-006535;7284;https://paatokset.hel.fi/fi/asia/hel-2022-006535
2022-50;1.7.2022;Pysäköinnin kieltäminen Koulumestarintie 29 edustalla;HEL 2022-007492;Koulumestarintie 29;https://paatokset.hel.fi/fi/asia/hel-2022-007492
2022-58;1.7.2022;Pysäköintijärjestelyt Kiskontiellä, Karunantiellä ja Tenholantien itäpäässä;HEL 2022-007681;7293;https://paatokset.hel.fi/fi/asia/hel-2022-007681
2022-59;1.7.2022;Veturitien liikenteen ohjaussuunnitelma välillä Höyrykatu Areenakuja;HEL 2022-008132;7294;https://paatokset.hel.fi/fi/asia/hel-2022-008132
2022-51;1.7.2022;Itäväylän ja Viikintien eritasoliittymän siltojen painorajoitusten merkitseminen;HEL 2022-008435;7308;https://paatokset.hel.fi/fi/asia/hel-2022-008435
2022-52;1.7.2022;Painorajoitusten ja ajokieltojen merkitseminen jalankululle ja polkupyöräliikenteelle tarkoitetuille silloille;HEL 2022-008438;7309;https://paatokset.hel.fi/fi/asia/hel-2022-008438
2022-55;1.7.2022;Pyörätelineiden sijoittaminen Käpylään ja Koskelaan;HEL 2022-008495;7240;https://paatokset.hel.fi/fi/asia/hel-2022-008495
2022-56;1.7.2022;Pyörätelineiden sijoittaminen Konalaan ja Pitäjänmäkeen;HEL 2022-008496;7239;https://paatokset.hel.fi/fi/asia/hel-2022-008496
2022-57;1.7.2022;Pyörätelineiden sijoittaminen Lauttasaareen ja Lehtisaareen;HEL 2022-008497;7238;https://paatokset.hel.fi/fi/asia/hel-2022-008497
2022-61;19.8.2022;Paciuksenkadun ja Seurasaarentien liikenteen ohjaussuunnitelma Siltasairaalan kohdalla;HEL 2022-002295;7250;https://paatokset.hel.fi/fi/asia/hel-2022-002295
2022-65;19.8.2022;Pysäköintijärjestelyt Untamalantiellä;HEL 2022-004487;7270;https://paatokset.hel.fi/fi/asia/hel-2022-004487
2022-64;19.8.2022;Ratasmyllynkujan ja Myllytaipaleen liikenteen ohjaussuunnitelma;HEL 2022-007683;7289;https://paatokset.hel.fi/fi/asia/hel-2022-007683
2022-62;19.8.2022;Kontulantien, Porttitien ja Vesipääskynkujan risteyksen lähiympäristön liikenteen ohjaussuunnitelma;HEL 2022-009423;7315;https://paatokset.hel.fi/fi/asia/hel-2022-009423
2022-63;19.8.2022;Mäntykukantien liikenteen ohjaussuunnitelma;HEL 2022-009429;7314;https://paatokset.hel.fi/fi/asia/hel-2022-009429
2022-60;19.8.2022;Museokadun liikenteen ohjaussuunnitelma välillä Mechelininkatu Runeberginkatu;HEL 2022-009644;7322;https://paatokset.hel.fi/fi/asia/hel-2022-009644
2022-66;2.9.2022;Paasikivenkadun, Tavaststjernankadun ja Valhallankadun liikenteen ohjaussuunnitelma;HEL 2022-009647;7323;https://paatokset.hel.fi/fi/asia/hel-2022-009647
2022-67;2.9.2022;Hietaniemenkadun ja Hietakannaksentien liikenteen ohjaussuunnitelma;HEL 2022-009831;7328;https://paatokset.hel.fi/fi/asia/hel-2022-009831
2022-69;16.9.2022;Vanhan Helsingintien pohjoisosan ja Malmin asematien liikenteen ohjaussuunnitelma;HEL 2021-014662;7241;https://paatokset.hel.fi/fi/asia/hel-2021-014662
2022-72;30.9.2022;Pysäköinnin kieltäminen Kirvestien pohjoisosassa;HEL 2022-009370;Kirvestie;https://paatokset.hel.fi/fi/asia/hel-2022-009370
2022-70;30.9.2022;Pysäköinnin kieltäminen Timoteikujalla;HEL 2022-009449;Timoteikuja;https://paatokset.hel.fi/fi/asia/hel-2022-009449
2022-71;30.9.2022;Asukaspysäköintipaikan lisääminen Satamakatu 5 edustalle;HEL 2022-009577;Satamakatu 5;https://paatokset.hel.fi/fi/asia/hel-2022-009577
2022-74;14.10.2022;Pysäköinnin kieltäminen Ritvalantien luoteisreunalla;HEL 2022-010129;Ritvalantie;https://paatokset.hel.fi/fi/asia/hel-2022-010129
2022-73;14.10.2022;Koksikadun ja Vilhonvuorenkadun jatkeen liikenteen ohjaussuunnitelma;HEL 2022-011314;7329;https://paatokset.hel.fi/fi/asia/hel-2022-011314
2022-75;28.10.2022;Pysäköinnin kieltäminen Myllypurontiellä Myllymatkantien risteyksen läheisyydessä;HEL 2022-011632;Myllypurontie_Myllymatkantie;https://paatokset.hel.fi/fi/asia/hel-2022-011632
2022-84;11.11.2022;Päätien ja Henrik Borgströmin tien ympäristön liikennejärjestelysuunnitelma;HEL 2022-009882;7313;https://paatokset.hel.fi/fi/asia/hel-2022-009882
2022-81;11.11.2022;Pysäköintijärjestelyt Häklinkujalla ja Karjatanhuanpolulla;HEL 2022-012688;7343;https://paatokset.hel.fi/fi/asia/hel-2022-012688
2022-83;11.11.2022;Sähköautojen latauspisteiden toteuttaminen Helsinkiin 2022;HEL 2022-012691;7344;https://paatokset.hel.fi/fi/asia/hel-2022-012691
2022-82;11.11.2022;Katariina Saksilaisen kadun eteläosan ja Pornaistenniemen liikenteen ohjaussuunnitelma;HEL 2022-012843;7336;https://paatokset.hel.fi/fi/asia/hel-2022-012843
2022-80;11.11.2022;Pysäköinnin kieltäminen Ratasmyllyntiellä välillä Varikkotie  Myllyväenkatu;HEL 2022-013022;Ratasmyllyntie;https://paatokset.hel.fi/fi/asia/hel-2022-013022
2022-79;11.11.2022;Pysäköintijärjestelyt Pikajuoksijankujan ja -polun varressa olevilla pysäköintialueilla;HEL 2022-013026;Pikajuoksijankuja, Pikajuoksijanpolku;https://paatokset.hel.fi/fi/asia/hel-2022-013026
2022-85;18.11.2022;Suojatien siirto Torpparinmäentien ja Viskaalintien risteysalueella;HEL 2022-013081;7345;https://paatokset.hel.fi/fi/asia/hel-2022-013081
2022-86;18.11.2022;Vieraspysäköintipaikkojen merkitseminen Veräjälle;HEL 2022-013217;Veräjä;https://paatokset.hel.fi/fi/asia/hel-2022-013217
2022-87;25.11.2022;Nordenskiöldin aukion eteläreunan liikennejärjestelyt;HEL 2022-013481;7350;https://paatokset.hel.fi/fi/asia/hel-2022-013481
2022-94;2.12.2022;Kalliolanrinteen itäosan liikenteen ohjaussuunnitelma;HEL 2022-000177;7242;https://paatokset.hel.fi/fi/asia/hel-2022-000177
2022-90;2.12.2022;Koskelantien rinnakkaiskadun ja Ilmattarentien liikenteen ohjaussuunnitelma;HEL 2022-012425;7341;https://paatokset.hel.fi/fi/asia/hel-2022-012425
2022-89;2.12.2022;Kruunuvuorenrannan liikuntapuiston liikenteen ohjaussuunnitelma;HEL 2022-013092;7327;https://paatokset.hel.fi/fi/asia/hel-2022-013092
2022-92;2.12.2022;Hernesaarenrannan ja Hernematalankadun tilapäinen liikenteen ohjaussuunnitelma;HEL 2022-013397;7347;https://paatokset.hel.fi/fi/asia/hel-2022-013397
2022-93;2.12.2022;CD-paikkojen merkitseminen Uimarinpolku 2 kohdalle;HEL 2022-013420;7349;https://paatokset.hel.fi/fi/asia/hel-2022-013420
2022-91;2.12.2022;Lippuautomaattien vähentäminen kantakaupungissa;HEL 2022-013757;7358;https://paatokset.hel.fi/fi/asia/hel-2022-013757
2022-98;9.12.2022;Postipuiston liikenteen ohjaussuunnitelma;HEL 2022-005671;7278;https://paatokset.hel.fi/fi/asia/hel-2022-005671
2022-96;9.12.2022;Nopeusrajoituksen tarkistaminen Abraham Wetterin tiellä välillä Sahaajankatu Satumaanpolku;HEL 2022-012821;7365;https://paatokset.hel.fi/fi/asia/hel-2022-012821
2022-95;9.12.2022;Liikenteen ohjausjärjestelyt Huopalahden aseman ympäristössä;HEL 2022-013595;7351;https://paatokset.hel.fi/fi/asia/hel-2022-013595
2022-97;9.12.2022;Askartien eteläosan ja Notkokujan pohjoisosan liikenteen ohjaussuunnitelma;HEL 2022-013966;7359;https://paatokset.hel.fi/fi/asia/hel-2022-013966
2022-101;16.12.2022;Pysäköintijärjestelyt Kaironkadulla ja Annalankujan yleisellä pysäköintialueella;HEL 2022-009781;7326;https://paatokset.hel.fi/fi/asia/hel-2022-009781
2022-100;16.12.2022;Ruususenrinteen pysäköintirajoituksen tarkistaminen;HEL 2022-009819;7366;https://paatokset.hel.fi/fi/asia/hel-2022-009819
2022-99;16.12.2022;Ajoestepuomien asettaminen Kannelmäen aseman ja Kaustisentie väliselle jalkakäytävälle;HEL 2022-014500;7367;https://paatokset.hel.fi/fi/asia/hel-2022-014500
2023-2;13.1.2023;Mopojen siirtäminen ajoradalle Asesepäntiellä, Metsäläntiellä ja Veturitiellä;HEL 2022-012362;7348;https://paatokset.hel.fi/fi/asia/hel-2022-012362
2023-3;13.1.2023;Pysäköintijärjestelyt Yläkiventie 4-6 kohdalla;HEL 2023-000107;7374;https://paatokset.hel.fi/fi/asia/hel-2023-000107
2023-4;20.1.2023;Mannerheimintien liikenteen ohjaussuunnitelma välillä Postikatu Helsinginkatu;HEL 2022-011730;7337;https://paatokset.hel.fi/fi/asia/hel-2022-011730
2023-5;20.1.2023;Pyöräliikenteen opastusjärjestelyt Viikissä;HEL 2022-013596;7352;https://paatokset.hel.fi/fi/asia/hel-2022-013596
2023-6;20.1.2023;Pohjolankadun liikenteen ohjaussuunnitelma Pohjolanaukion koillisosassa;HEL 2022-014063;7361;https://paatokset.hel.fi/fi/asia/hel-2022-014063
2023-8;27.1.2023;Risteysruudutuksen merkitseminen Helsinginkadun ja Oopperankujan risteykseen;HEL 2022-010275;7383;https://paatokset.hel.fi/fi/asia/hel-2022-010275
2023-11;27.1.2023;Pyöräliikenteen opastusjärjestelyt Pukinmäessä ja Malmilla;HEL 2022-013597;7353;https://paatokset.hel.fi/fi/asia/hel-2022-013597
2023-10;27.1.2023;Pyöräliikenteen opastusjärjestelyt Tapaninkylässä;HEL 2022-013598;7354;https://paatokset.hel.fi/fi/asia/hel-2022-013598
2023-9;27.1.2023;Pyöräliikenteen opastusjärjestelyt Suutarilassa;HEL 2022-013599;7355;https://paatokset.hel.fi/fi/asia/hel-2022-013599
2023-12;27.1.2023;Pyöräliikenteen opastusjärjestelyt Suurmetsässä;HEL 2022-013600;7356;https://paatokset.hel.fi/fi/asia/hel-2022-013600
2023-7;27.1.2023;Pysäköinnin kieltäminen Apollonkatu 13 edustalla;HEL 2022-015110;7364;https://paatokset.hel.fi/fi/asia/hel-2022-015110
2023-13;3.2.2023;Suojatien siirto Tolarintiellä Pohjois-Haagan alakoulun kohdalla;HEL 2023-000700;Tolarintie;https://paatokset.hel.fi/fi/asia/hel-2023-000700
2023-14;3.2.2023;Asukaspysäköintipaikkojen merkitseminen Pohjoisranta 2 ja 4 edustalle;HEL 2023-001277;7384;https://paatokset.hel.fi/fi/asia/hel-2023-001277
2023-15;3.2.2023;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 4 edustalle;HEL 2023-001361;7385;https://paatokset.hel.fi/fi/asia/hel-2023-001361
2023-16;10.2.2023;Pysäköintijärjestelyt käytöstä poistetuilla linja-autopysäkeillä kantakaupungin alueella;HEL 2022-014395;7363;https://paatokset.hel.fi/fi/asia/hel-2022-014395
2023-17;10.2.2023;Pysäköinnin kieltäminen Konalan pelastusaseman läheisyydessä;HEL 2023-001592;7386;https://paatokset.hel.fi/fi/asia/hel-2023-001592
2023-18;10.2.2023;Pysäkkijärjestelyt Paciuksenkatu 5 kohdalla;HEL 2023-001595;7378;https://paatokset.hel.fi/fi/asia/hel-2023-001595
2023-21;17.2.2023;Sompasaaren liikenteen ohjaussuunnitelma;HEL 2019-003442;6907;https://paatokset.hel.fi/fi/asia/hel-2019-003442
2023-19;17.2.2023;Verkkosaaren eteläosan liikenteen ohjaussuunnitelma;HEL 2022-011842;6908;https://paatokset.hel.fi/fi/asia/hel-2022-011842
2023-23;17.2.2023;Liikennejärjestelyt Mannerheimintie 3 ja 5 edustalla;HEL 2023-001483;7389;https://paatokset.hel.fi/fi/asia/hel-2023-001483
2023-22;17.2.2023;Liityntäpyöräpysäköintipaikkojen lisääminen Ruoholahden metroaseman läheisyyteen;HEL 2023-001495;7388;https://paatokset.hel.fi/fi/asia/hel-2023-001495
2023-24;17.2.2023;Pysäköintijärjestelyt Runeberginkatu 10 edustalla;HEL 2023-001820;7390;https://paatokset.hel.fi/fi/asia/hel-2023-001820
2023-20;17.2.2023;Sörnäistenniemen liikenteen ohjaussuunnitelma;HEL 2023-001884;7346;https://paatokset.hel.fi/fi/asia/hel-2023-001884
2023-25;24.2.2023;Pysäköinnin kieltäminen Stenbäckinkatu 1 edustalla;HEL 2023-001906;7392;https://paatokset.hel.fi/fi/asia/hel-2023-001906
2023-26;3.3.2023;Väinämöisenkadun, Eteläisen Hesperiankadun ja Mechelininkadun liikennejärjestelyt;HEL 2022-011533;7340;https://paatokset.hel.fi/fi/asia/hel-2022-011533
2023-27;10.3.2023;Raitiotiepysäkkien kehittämistoimenpiteet;HEL 2021-011844;7306;https://paatokset.hel.fi/fi/asia/hel-2021-011844
2023-28;10.3.2023;Väistämisjärjestelyjen merkitseminen Tuomarinkyläntien ja Vanhan Tuusulantien risteyksessä sijaitsevalla pyörätiellä;HEL 2022-013080;Tuomarinkyläntie;https://paatokset.hel.fi/fi/asia/hel-2022-013080
2023-29;10.3.2023;Ristipellontien liikennesuunnitelma;HEL 2023-001508;7357;https://paatokset.hel.fi/fi/asia/hel-2023-001508
2023-32;17.3.2023;Suojatien rakentaminen Lyhtytielle;HEL 2022-009477;7318;https://paatokset.hel.fi/fi/asia/hel-2022-009477
2023-30;17.3.2023;Pysäköintijärjestelyt Laivurinkadulla;HEL 2022-015197;7362;https://paatokset.hel.fi/fi/asia/hel-2022-015197
2023-31;17.3.2023;Sähköautojen latauspisteiden sijoittaminen Töölöntulliin, Messeniuksenkadulle ja Käpyläntielle;HEL 2023-001521;7387;https://paatokset.hel.fi/fi/asia/hel-2023-001521
2023-33;31.3.2023;Mikroliikkumisen palveluiden pysäköintijärjestelyt kantakaupungissa;HEL 2023-001569;7418, 7419, 7420, 7421, 7422;https://paatokset.hel.fi/fi/asia/hel-2023-001569
2023-35;6.4.2023;Mustikkamaan sillan painorajoitusten tarkistaminen;HEL 2023-003372;Mustikkamaan silta;https://paatokset.hel.fi/fi/asia/hel-2023-003372
2023-36;6.4.2023;Heikosta sillan reunasta varoittaminen Kulosaarensillalla;HEL 2023-003374;7430;https://paatokset.hel.fi/fi/asia/hel-2023-003374
2023-39;6.4.2023;Kadunvarsipysäköintipaikkojen muuttaminen istutusalueeksi Eerikinkatu 9 edustalla;HEL 2023-004087;7401;https://paatokset.hel.fi/fi/asia/hel-2023-004087
2023-41;6.4.2023;Kadunvarsipysäköintipaikkojen muuttaminen istutusalueeksi Kinaporinkatu 2 edustalla;HEL 2023-004088;7402;https://paatokset.hel.fi/fi/asia/hel-2023-004088
2023-40;6.4.2023;Kadunvarsipysäköintipaikkojen muuttaminen istutusalueeksi Kuortaneenkatu 1 edustalla;HEL 2023-004089;7403;https://paatokset.hel.fi/fi/asia/hel-2023-004089
2023-38;6.4.2023;Kadunvarsipysäköintipaikkojen muuttaminen istutusalueeksi Päijänteentie 6 edustalla;HEL 2023-004090;7404;https://paatokset.hel.fi/fi/asia/hel-2023-004090
2023-37;6.4.2023;Kadunvarsipysäköintipaikkojen muuttaminen istutusalueeksi Alppikatu 26 edustalla;HEL 2023-004091;7405;https://paatokset.hel.fi/fi/asia/hel-2023-004091
2023-44;14.4.2023;Ahomäenkujan liikenteen ohjaussuunnitelma;HEL 2022-013717;Ahomäenkuja;https://paatokset.hel.fi/fi/asia/hel-2022-013717
2023-42;14.4.2023;Pysäköintijärjestelyt Kirsitiellä;HEL 2022-013720;7369;https://paatokset.hel.fi/fi/asia/hel-2022-013720
2023-43;14.4.2023;Pysäköintijärjestelyt Mätästiellä;HEL 2022-014510;Mätästie;https://paatokset.hel.fi/fi/asia/hel-2022-014510
2023-45;14.4.2023;Pelimannintien ympäristön liikenteen ohjaussuunnitelma;HEL 2023-003986;7416;https://paatokset.hel.fi/fi/asia/hel-2023-003986
2023-47;21.4.2023;Topeliuksenkadun ja Haartmaninkadun sekä Topeliuksenkadun ja Stenbäckinkadun risteysten liikennejärjestelyt;HEL 2022-011179;7338;https://paatokset.hel.fi/fi/asia/hel-2022-011179
2023-46;21.4.2023;Liikennejärjestelyt Töölönlahdenkadun ja Karamzininrannan risteyksessä;HEL 2023-004489;7415;https://paatokset.hel.fi/fi/asia/hel-2023-004489
2023-54;28.4.2023;Pysäköintijärjestelyt Käpylinnuntiellä ja Satakielentiellä;HEL 2022-013722;7371;https://paatokset.hel.fi/fi/asia/hel-2022-013722
2023-49;28.4.2023;Pysäköintijärjestelyt Lastenlinnantie 2 edustalla;HEL 2023-003335;7407;https://paatokset.hel.fi/fi/asia/hel-2023-003335
2023-50;28.4.2023;Pysäköintijärjestelyt Mechelininkatu 44-40 edustalla;HEL 2023-003337;7408;https://paatokset.hel.fi/fi/asia/hel-2023-003337
2023-51;28.4.2023;Hammarskjöldintien pysäköintijärjestelyt;HEL 2023-003339;7409;https://paatokset.hel.fi/fi/asia/hel-2023-003339
