Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2019-100;18.10.2019;Lastausruudun merkitseminen Mikonkatu 15 edustalle;HEL 2019-010287;Mikonkatu 15;https://paatokset.hel.fi/fi/asia/hel-2019-010287
2019-101;18.10.2019;Museokatu 8 kohdan pysäköintijärjestelyt;HEL 2019-010288;7006;https://paatokset.hel.fi/fi/asia/hel-2019-010288
2019-99;18.10.2019;Lastausruudun merkitseminen Korkeavuorenkatu 47 edustalle;HEL 2019-010289;Korkeavuorenkatu 47;https://paatokset.hel.fi/fi/asia/hel-2019-010289
2019-102;18.10.2019;Rehbinderintien pysäköintijärjestelyt välillä Pietarinkatu Armfeltintie;HEL 2019-010291;7007;https://paatokset.hel.fi/fi/asia/hel-2019-010291
2019-104;25.10.2019;Kahvikorttelin pysäköintijärjestelyiden selkeyttäminen;HEL 2019-010764;7012;https://paatokset.hel.fi/fi/asia/hel-2019-010764
2019-105;1.11.2019;Kauppatorin ja Lyypekinlaiturin pysäköintijärjestelyt sekä Biennaalin liikennejärjestelyt Lyypekinlaiturin ympäristössä;HEL 2019-010555;7009, 7010;https://paatokset.hel.fi/fi/asia/hel-2019-010555
2019-108;22.11.2019;Lähilinjan pysäkin merkitseminen Punahilkantie 10 edustalle;HEL 2019-010875;Punahilkantie 10;https://paatokset.hel.fi/fi/asia/hel-2019-010875
2019-107;22.11.2019;Suojatien siirtäminen Tammisalontiellä Vanhanväylän risteyksen itäpuolelle;HEL 2019-011066;Tammisalontie 33;https://paatokset.hel.fi/fi/asia/hel-2019-011066
2019-106;22.11.2019;Maatullinpuiston itäosan liikenteen ohjaussuunnitelma;HEL 2019-011686;7019;https://paatokset.hel.fi/fi/asia/hel-2019-011686
2019-109;14.12.2019;Sähköautojen latauspisteet;HEL 2019-012664;7021, 7022, 7023;https://paatokset.hel.fi/fi/asia/hel-2019-012664
2019-112;20.12.2019;Pyörätelineiden sijoittaminen Kluuviin, Kaartinkaupunkiin, Punavuoreen, Eiraan, Ullanlinnaan ja Kaivopuistoon;HEL 2019-010480;7003;https://paatokset.hel.fi/fi/asia/hel-2019-010480
2019-111;20.12.2019;Asukaspysäköintialueen B tarkistaminen;HEL 2019-012880;7025;https://paatokset.hel.fi/fi/asia/hel-2019-012880
2020-2;17.1.2020;Olympiastadionin ympäristän liikenteen ohjaussuunnitelma;HEL 2019-008795;6967;https://paatokset.hel.fi/fi/asia/hel-2019-008795
2020-10;24.1.2020;Vilhonkatu 13 edustan liikennejärjestelyt;HEL 2020-000432;7028;https://paatokset.hel.fi/fi/asia/hel-2020-000432
2020-14;31.1.2020;Pysäkäintipaikkojen merkitseminen Käpyläntie 13 edustalle;HEL 2019-012740;Käpyläntie 13;https://paatokset.hel.fi/fi/asia/hel-2019-012740
2020-15;31.1.2020;Kuorma-autojen pysäköintipaikkojen merkitseminen Tapulikaupungintien yleiselle pysäkäintialueelle;HEL 2019-012746;Tapulikaupungintie 2;https://paatokset.hel.fi/fi/asia/hel-2019-012746
2020-16;31.1.2020;Urheilukatu 44;HEL 2020-000649;Urheilukatu 44;https://paatokset.hel.fi/fi/asia/hel-2020-000649
2020-18;31.1.2020;CD-paikkojen merkitseminen Kalevankatu 18 edustalle ja asukaspysäköintipaikkojen lisääminen Kruunuvuorenkatu 5 edustalle       ;HEL 2020-000771;Kruunuvuorenkatu 5, Kalevankatu 18;https://paatokset.hel.fi/fi/asia/hel-2020-000771
2020-17;31.1.2020;Linja-auton pysäkin merkitseminen Punavuorenkatu 10-6 edustalle;HEL 2020-000788;Punavuorenkatu 10-6;https://paatokset.hel.fi/fi/asia/hel-2020-000788
2020-19;31.1.2020;Sähköautojen latauspisteiden tarkistaminen;HEL 2020-000952;7030, 7031, 7032;https://paatokset.hel.fi/fi/asia/hel-2020-000952
2020-21;21.2.2020;Liikenne- ja pysäköintijärjestelyt Senaatintorin ympäristässä;HEL 2020-001621;7034;https://paatokset.hel.fi/fi/asia/hel-2020-001621
2020-20;21.2.2020;Töölönkadun pysäköintilaitoksen opastus;HEL 2020-001721;7035;https://paatokset.hel.fi/fi/asia/hel-2020-001721
2020-22;28.2.2020;Ruoholahdenkatu 18 ja 20 kohdan ajoestejärjestelyt ;HEL 2020-002096;7037;https://paatokset.hel.fi/fi/asia/hel-2020-002096
2020-26;6.3.2020;Pyöräilyn ja jalankulun liikennejärjestelyt Sörnäisten rantatiellä välillä Hakaniemenkatu Pääskylänkatu;HEL 2019-008436;6978, 6979;https://paatokset.hel.fi/fi/asia/hel-2019-008436
2020-24;6.3.2020;Mikaelinkirkon opastaminen Kontulantien ja Porttitien risteyksessä;HEL 2020-002044;Kontulantie/Porttitie;https://paatokset.hel.fi/fi/asia/hel-2020-002044
2020-23;6.3.2020;Liikenteen ohjausjärjestelyt Kaarenjalan ja Kiikun risteyksessä;HEL 2020-002065;Piirustus_7042;https://paatokset.hel.fi/fi/asia/hel-2020-002065
2020-25;6.3.2020;Korokejärjestelyt Mannerheimintien ja Bulevardin risteyksessä;HEL 2020-002249;7038;https://paatokset.hel.fi/fi/asia/hel-2020-002249
2020-27;6.3.2020;Kaupunkipyöräasemien sijaintien tarkistaminen kantakaupungissa, Maunulassa, Koskelassa ja Vartiokylässä;HEL 2020-002319;7039, 7040;https://paatokset.hel.fi/fi/asia/hel-2020-002319
2020-28;13.3.2020;Pysäköintijärjestelyt Kauppaneuvoksentie 18 edustalla;HEL 2020-002715;Kauppaneuvoksentie 18;https://paatokset.hel.fi/fi/asia/hel-2020-002715
2020-31;20.3.2020;Pysäköinnin kieltäminen Puuskakujan köäntäpaikalla;HEL 2020-002485;Puuskakuja 23;https://paatokset.hel.fi/fi/asia/hel-2020-002485
2020-32;20.3.2020;Pysäköinnin kieltäminen ja asukaspysäköintipaikan lisääminen Perttulantie 2 edustalla ;HEL 2020-002722;Perttulantie 2;https://paatokset.hel.fi/fi/asia/hel-2020-002722
2020-30;20.3.2020;Pysäköinnin kieltäminen Eteläinen Makasiinikatu 3 edustalla;HEL 2020-002998;Eteläinen Makasiinikatu 3;https://paatokset.hel.fi/fi/asia/hel-2020-002998
2020-37;27.3.2020;Hämeentien ja ympäristän liikenteenohjaussuunnitelma välillä Siltasaarenkatu Mäkelänkatu;HEL 2018-009448;6850, 6851;https://paatokset.hel.fi/fi/asia/hel-2018-009448
2020-34;27.3.2020;Pysäköintipaikkojen merkitseminen Kruunuvuorenkadulla ja Linnankadulla;HEL 2020-002484;7044;https://paatokset.hel.fi/fi/asia/hel-2020-002484
2020-36;27.3.2020;Liikennejärjestelyt Bulevardilla välillä Albertinkatu Hietalahdenkatu;HEL 2020-002501;7045;https://paatokset.hel.fi/fi/asia/hel-2020-002501
2020-35;27.3.2020;Raitiovaunun pysäkin poistaminen Hietalahdentorin länsireunasta;HEL 2020-003656;Hietalahdenkatu;https://paatokset.hel.fi/fi/asia/hel-2020-003656
2020-33;27.3.2020;Suojatien poistaminen Kruunuvuorenkatu 4 kohdalta;HEL 2020-003657;Kruunuvuorenkatu 4;https://paatokset.hel.fi/fi/asia/hel-2020-003657
2020-40;3.4.2020;Pyörätelineiden sijoittaminen Herttoniemenrantaan;HEL 2020-000095;7027;https://paatokset.hel.fi/fi/asia/hel-2020-000095
2020-41;3.4.2020;Liikenteen ohjausjärjestelyt Salomonkatu 17 kohdalla ;HEL 2020-003640;7047;https://paatokset.hel.fi/fi/asia/hel-2020-003640
2020-39;3.4.2020;Huoltoajojärjestelyt Nahkahousunkujan länsipäästä ;HEL 2020-003705;7056;https://paatokset.hel.fi/fi/asia/hel-2020-003705
2020-42;9.4.2020;Asema-aukion liikenteen ohjaussuunnitelma;HEL 2020-004070;7055;https://paatokset.hel.fi/fi/asia/hel-2020-004070
